phase_network,critical edge count,critical TF
phase1_Blastomeres,10,"FOXB1A,FOXD3,FOXD5,HOPX,KLF6A,POU5F3,SI:DKEY-43P13.5,SOX11A,SOX13,ZEB1A"
phase2_Ectoderm,9,"BLF,EVE1,HER7,ID1,MSX1B,OTX1B,TFAP2C,VOX,ZEB1A"
phase2_Enveloping_Layer,21,"CABZ01070258.1,CTH1,ETV4,FOXA,FOXD3,FOXD5,FOXI1,HER7,ID1,ID3,IRX7,SI:CH73-299H12.3,SI:DKEY-261J4.5,SOX11B,SOX2,TA,TBX16,TCF3B,ZIC2B,ZIC3,ZNFL2A"
phase2_Other_Axial_Mesoderm,8,"CABZ01070258.1,DRL,HMGB1A,HOPX,MYT1A,NOTO,SI:DKEY-261J4.3,TWIST2"
phase2_Other_Mesendoderm,7,"E2F7,EVE1,FOXA2,HER5,MSGN1,SI:DKEY-261J4.3,SOX32"
phase2_Primordial_Germ_cells,11,"HER5,HER7,ID2A,ID3,IRX7,MYCN,OTX1B,TA,XBP1,ZEB1A,ZGC:113886"
phase3_Ectoderm,9,"DLX3B,GATA3,HER5,OLIG3,OTX2,PAX2A,TBX16,ZIC2A,ZIC3"
phase3_Enveloping_Layer,14,"FOXB1A,GBX1,ID1,ID3,MEIS2B,OTX1A,RARGA,SI:DKEY-228B2.6,SOX19A,VED,ZIC2A,ZIC3,ZNF503,ZNF750"
phase3_Notochord,9,"CTH1,FOXA1,GBX1,KLF6A,OTX1A,POU5F3,RXRAA,VOX,XBP1"
phase3_Other_Mesendoderm,11,"DMBX1A,FEZF2,GSC,MEIS3,MYF5,NR2F6B,PITX2,PRDM1A,TBX1,TFAP2A,TP63"
phase3_Paraxial_Mesoderm,10,"FOXA,FOXB1A,FOXD3,NEUROG1,NOTO,PRDM1A,SALL4,VED,VOX,XBP1"
phase3_Prechordal_Plate,4,"BACH1B,ETV4,SI:DKEY-68O6.5,UNCX4.1"
phase3_Primordial_Germ_cells,8,"EVE1,FOXD3,IRX1B,MEIS2B,PAX8,PRDM14,TFAP2A,ZNF503"
phase4_Adaxial_Cells,2,"BLF,JUN"
phase4_Cephalic_Mesoderm,2,"MSX3,PBX1A"
phase4_Diencephalon,16,"ARXA,DBX1A,DBX1B,EMX3,ENG2B,INSM1B,IRX1B,MSX1B,MYT1B,NOTO,OLIG2,PAX3A,SOX1B,VOX,ZEB1A,ZIC3"
