phase,network,nD
phase1,Primordial_Germ_cells,214
phase1,Blastomeres,451
phase1,Enveloping_Layer,434
phase2,Ectoderm,394
phase2,Primordial_Germ_cells,293
phase2,Other_Mesendoderm,422
phase2,Other_Axial_Mesoderm,411
phase2,Enveloping_Layer,458
phase3,Notochord,391
phase3,Paraxial_Mesoderm,411
phase3,Ectoderm,378
phase3,Primordial_Germ_cells,317
phase3,Other_Mesendoderm,425
phase3,Prechordal_Plate,415
phase3,Enveloping_Layer,507
phase4,Notochord,286
phase4,Cephalic_Mesoderm,234
phase4,Diencephalon,262
phase4,Neural_Plate_Border,259
phase4,Placode_Epibranchial+Otic,275
phase4,Placode_Olfactory,243
phase4,Hindbrain_R4+5+6,254
phase4,Primordial_Germ_cells,242
phase4,Adaxial_Cells,290
phase4,Hindbrain_R3,196
phase4,midbrain+neural_crest,227
phase4,Optic_Cup,219
phase4,Tailbud,263
phase4,Placode_Adeno+Lens+Trigeminal,231
phase4,Telencephalon,213
phase4,Hematopoietic_ICM,214
phase4,Prechordal_Plate,302
phase4,Spinal_Cord,257
phase4,Epidermis,319
phase4,Hematopoietic_RBI+Pronephros,237
phase4,Enveloping_Layer,458
phase4,Heart_Primordium,249
phase4,Endoderm_Pancreatic+Intestinal,307
phase4,Endoderm_Pharyngeal,280
phase4,Somites,256
